id,director,keywords,genres
135397,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,Action|Adventure|Science Fiction|Thriller
76341,George Miller,future|chase|post-apocalyptic|dystopia|australia,Action|Adventure|Science Fiction|Thriller
262500,Robert Schwentke,based on novel|revolution|dystopia|sequel|dystopic future,Adventure|Science Fiction|Thriller
140607,J.J. Abrams,android|spaceship|jedi|space opera|3d,Action|Adventure|Science Fiction|Fantasy
168259,James Wan,car race|speed|revenge|suspense|car,Action|Crime|Thriller
281957,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,Western|Drama|Adventure|Thriller
87101,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,Science Fiction|Action|Thriller|Adventure
286217,Ridley Scott,based on novel|mars|nasa|isolation|botanist,Drama|Adventure|Science Fiction
211672,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,Family|Animation|Adventure|Comedy
150540,Pete Docter,dream|cartoon|imaginary friend|animation|kid,Comedy|Animation|Family
206647,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,Action|Adventure|Crime
99861,Joss Whedon,marvel comic|comic|sequel|superhero|vision,Action|Adventure|Science Fiction
273248,Quentin Tarantino,bounty hunter|wyoming|mountains|hangman|voice over narration,Crime|Drama|Mystery|Western
260346,Olivier Megaton,revenge|murder|on the run|fugitive|framed,Crime|Action|Thriller
102899,Peyton Reed,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,Science Fiction|Action|Adventure
150689,Kenneth Branagh,cinderella|magic|fairy tale|princess|shoe,Romance|Fantasy|Family|Drama
131634,Francis Lawrence,revolution|strong woman|dystopia|game of death|3d,War|Adventure|Science Fiction
158852,Brad Bird,inventor|apocalypse|destiny|imax|dreamer,Action|Family|Science Fiction|Adventure|Mystery
307081,Antoine Fuqua,sport,Action|Drama
254128,Brad Peyton,california|earthquake|catastrophe|disaster film|3d,Action|Drama|Thriller
216015,Sam Taylor-Johnson,based on novel|billionaire|bdsm|woman director|erotic movie,Drama|Romance
318846,Adam McKay,bank|fraud|biography|wall street|finances,Comedy|Drama
177677,Christopher McQuarrie,spy|sequel|mission,Action
214756,Seth MacFarlane,sperm bank|sequel|buddy|courthouse|teddy bear,Comedy
207703,Matthew Vaughn,spy|great britain|secret organization|secret agent|marvel comic,Crime|Comedy|Action|Adventure
